1/1/2014 5:04,,
100,100,100
100,101,101
101,102,103
102,103,106
102,104,102
,,104
,,105


1/2/2014 5:04,,
100,100,105
101,102,104
100,101,106
102,103,100
102,104,103
,,101
,,102


1/3/2014 5:04,,
100,101,100
102,104,104
101,102,105
100,100,102
102,103,101
,,103
,,106


1/4/2014 5:04,,
100,100,106
102,103,103
101,102,101
100,101,102
102,104,105
,,100
,,104


1/5/2014 5:04,,
101,102,100
102,104,106
100,100,101
100,101,103
102,103,104
,,102
,,105


1/6/2014 5:04,,
102,104,101
102,103,105
101,102,102
100,100,104
100,101,104
,,100
,,103
,,106
