Sum of AV_INDEX,,,GS_GAURD_ID,,,,,,,
DUTYDATE,GS_POST_ID,GS_SHIFT_ID,100,101,102,103,104,105,106,Grand Total
1/1/2014 5:04,100,100,1,1,1,1,1,1,1,7
,,101,1,1,1,1,1,1,1,7
,101,102,1,1,1,1,1,1,1,7
,102,103,1,1,1,1,1,1,1,7
,,104,1,1,1,1,1,1,1,7
1/1/2014 5:04 Total,,,5,5,5,5,5,5,5,35
1/2/2014 5:04,100,100,0,0,0,1,1,1,1,4
,,101,1,0,0,1,0,0,1,3
,101,102,1,0,0,0,1,1,1,4
,102,103,1,0,0,1,1,1,0,4
,,104,1,0,0,1,0,0,1,3
1/2/2014 5:04 Total,,,4,0,0,4,3,3,4,18
1/3/2014 5:04,100,100,0,1,1,0,1,0,0,3
,,101,1,0,0,0,1,1,0,3
,101,102,1,1,1,0,0,1,0,4
,102,103,0,1,1,0,1,1,0,4
,,104,1,0,0,0,1,1,0,3
1/3/2014 5:04 Total,,,3,3,3,0,4,4,0,17
1/4/2014 5:04,100,100,0,1,0,1,0,0,1,3
,,101,0,0,1,0,0,1,0,2
,101,102,0,1,1,0,0,0,1,3
,102,103,0,0,1,1,0,1,0,3
,,104,0,1,0,0,0,1,0,2
1/4/2014 5:04 Total,,,0,3,3,2,0,3,2,13
1/5/2014 5:04,100,100,0,1,0,1,1,0,0,3
,,101,0,0,0,1,0,0,0,1
,101,102,1,0,0,0,0,0,1,2
,102,103,0,0,0,0,1,0,0,1
,,104,0,1,0,0,0,0,1,2
1/5/2014 5:04 Total,,,1,2,0,2,2,0,2,9
1/6/2014 5:04,100,100,0,0,0,0,1,0,0,1
,,101,0,0,0,0,1,0,0,1
,101,102,0,0,1,0,0,0,0,1
,102,103,0,0,1,0,0,1,0,2
,,104,1,1,0,0,0,0,0,2
1/6/2014 5:04 Total,,,1,1,2,0,2,1,0,7
Grand Total,,,14,14,13,13,16,16,13,99
